provincia,fecha,incendio,sequia,superficie
Ávila,2000,163,131,2445
Ávila,2001,150,113,151
Ávila,2002,150,127,42
Ávila,2003,202,144,1914
Ávila,2004,164,108,89
Ávila,2005,243,105,494
Ávila,2006,184,121,664
Ávila,2007,140,119,58
Ávila,2008,197,147,90
Ávila,2009,261,69,3019
Ávila,2010,137,114,28
Ávila,2011,187,101,289
Ávila,2012,282,96,404
Ávila,2013,147,99,1157
Ávila,2014,165,114,11
Ávila,2015,190,69,51
Ávila,2016,144,,332
Burgos,2000,400,107,657
Burgos,2001,253,116,445
Burgos,2002,186,109,182
Burgos,2003,177,108,1723
Burgos,2004,214,102,194
Burgos,2005,186,89,236
Burgos,2006,148,95,160
Burgos,2007,113,109,68
Burgos,2008,133,132,68
Burgos,2009,219,101,851
Burgos,2010,140,115,236
Burgos,2011,229,96,195
Burgos,2012,247,78,170
Burgos,2013,96,125,13
Burgos,2014,160,107,530
Burgos,2015,185,73,291
Burgos,2016,123,,156
León,2000,1050,125,1904
León,2001,733,89,735
León,2002,445,107,1001
León,2003,452,108,909
León,2004,453,64,348
León,2005,920,60,2817
León,2006,521,107,1152
León,2007,384,75,157
León,2008,621,75,631
León,2009,800,86,2531
León,2010,293,102,961
León,2011,655,92,837
León,2012,681,55,12243
León,2013,349,92,928
León,2014,327,116,287
León,2015,450,71,2092
León,2016,407,,7203
Palencia,2000,61,,41
Palencia,2001,27,,14
Palencia,2002,45,,68
Palencia,2003,75,123,119
Palencia,2004,68,79,171
Palencia,2005,108,78,516
Palencia,2006,77,105,91
Palencia,2007,47,0,9
Palencia,2008,79,101,83
Palencia,2009,165,64,225
Palencia,2010,46,103,11
Palencia,2011,96,77,36
Palencia,2012,175,74,461
Palencia,2013,60,,100
Palencia,2014,89,,5
Palencia,2015,89,90,164
Palencia,2016,93,,213
Salamanca,2000,157,103,668
Salamanca,2001,190,94,781
Salamanca,2002,141,112,90
Salamanca,2003,201,125,2834
Salamanca,2004,205,72,42
Salamanca,2005,465,74,2129
Salamanca,2006,296,93,80
Salamanca,2007,327,111,35
Salamanca,2008,310,98,45
Salamanca,2009,431,82,221
Salamanca,2010,261,109,161
Salamanca,2011,313,65,73
Salamanca,2012,331,96,92
Salamanca,2013,233,115,80
Salamanca,2014,212,83,19
Salamanca,2015,288,83,91
Salamanca,2016,194,,1613
Segovia,2000,75,115,378
Segovia,2001,86,107,16
Segovia,2002,62,135,4
Segovia,2003,73,125,147
Segovia,2004,76,100,69
Segovia,2005,76,98,29
Segovia,2006,75,106,9
Segovia,2007,52,109,4
Segovia,2008,63,139,916
Segovia,2009,78,90,9
Segovia,2010,44,125,2
Segovia,2011,74,94,55
Segovia,2012,95,86,214
Segovia,2013,67,119,60
Segovia,2014,71,127,64
Segovia,2015,90,80,25
Segovia,2016,63,,48
Soria,2000,62,105,2477
Soria,2001,52,96,159
Soria,2002,66,116,111
Soria,2003,61,114,21
Soria,2004,41,108,41
Soria,2005,86,69,111
Soria,2006,58,106,14
Soria,2007,73,96,8
Soria,2008,143,130,30
Soria,2009,69,97,145
Soria,2010,45,130,2
Soria,2011,79,76,136
Soria,2012,156,87,25
Soria,2013,47,127,4
Soria,2014,78,120,3
Soria,2015,84,110,500
Soria,2016,78,,44
Valladolid,2000,131,122,376
Valladolid,2001,67,94,115
Valladolid,2002,63,111,48
Valladolid,2003,83,140,83
Valladolid,2004,99,75,880
Valladolid,2005,67,64,320
Valladolid,2006,46,121,35
Valladolid,2007,39,115,7
Valladolid,2008,53,127,9
Valladolid,2009,92,78,32
Valladolid,2010,45,123,6
Valladolid,2011,91,76,58
Valladolid,2012,98,87,99
Valladolid,2013,59,118,58
Valladolid,2014,79,101,24
Valladolid,2015,65,81,14
Valladolid,2016,82,,108
Zamora,2000,660,122,612
Zamora,2001,483,117,705
Zamora,2002,370,133,1718
Zamora,2003,283,130,935
Zamora,2004,622,80,1052
Zamora,2005,835,75,3114
Zamora,2006,292,127,1132
Zamora,2007,336,122,291
Zamora,2008,495,114,617
Zamora,2009,584,105,830
Zamora,2010,162,143,124
Zamora,2011,470,73,366
Zamora,2012,538,93,1691
Zamora,2013,196,129,903
Zamora,2014,208,99,144
Zamora,2015,289,59,1049
Zamora,2016,162,,1983
